time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
1 2 normal 800000000 0 800000000 400000000 50 65536 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
1 1 normal 800000000 0 800000000 400000000 50 65536 0 inf 0 0 0 0 0 0 0 -nan -1 0 0 -nan 0 0 
200002 2 normal 800000000 0 800000000 400000000 50 65536 20440409 39.1382 2200 100001 0 0 0 0 0 0.0219998 -1 97801 97801 0.978 0 98 
200002 1 normal 800000000 0 800000000 400000000 50 65536 20752655 38.5493 705 100000 0 0 0 0 0 0.00705 -1 99295 99295 0.99295 0 99 
300002 2 normal 800000000 0 800000000 400000000 50 65536 30323392 26.3823 4913 150001 0 0 0 0 0 0.0327531 -1 145088 145088 0.967247 0 151 
300002 1 normal 800000000 0 800000000 400000000 50 65536 31009748 25.7983 1628 150000 0 0 0 0 0 0.0108533 -1 148372 148372 0.989147 0 155 
400002 2 normal 800000000 0 800000000 400000000 50 65536 39971250 20.0144 8751 200001 0 0 0 0 0 0.0437548 -1 191250 191250 0.956245 0 201 
400002 1 normal 800000000 0 800000000 400000000 50 65536 41203932 19.4156 2852 200000 0 0 0 0 0 0.01426 -1 197148 197148 0.98574 0 204 
500002 2 normal 800000000 0 800000000 400000000 50 65536 49424738 16.1862 13519 250001 0 0 0 0 0 0.0540758 -1 236482 236482 0.945924 0 235 
500002 1 normal 800000000 0 800000000 400000000 50 65536 51339805 15.5825 4355 250000 0 0 0 0 0 0.01742 -1 245645 245645 0.98258 0 254 
600002 2 normal 800000000 0 800000000 400000000 50 65536 58645191 13.6414 19402 300001 0 0 0 0 0 0.0646731 -1 280599 280599 0.935327 0 277 
600002 1 normal 800000000 0 800000000 400000000 50 65536 61383927 13.0327 6297 300000 0 0 0 0 0 0.02099 -1 293703 293703 0.97901 0 307 
700002 2 normal 800000000 0 800000000 400000000 50 65536 67659361 11.8239 26272 350001 0 0 0 0 0 0.0750626 -1 323729 323729 0.924937 0 317 
700002 1 normal 800000000 0 800000000 400000000 50 65536 71364095 11.2101 8545 350000 0 0 0 0 0 0.0244143 -1 341455 341455 0.975586 0 356 
800002 2 normal 800000000 0 800000000 400000000 50 65536 76483341 10.4598 34052 400001 0 0 0 0 0 0.0851298 -1 365949 365949 0.91487 0 358 
800002 1 normal 800000000 0 800000000 400000000 50 65536 81262753 9.84461 11183 400000 0 0 0 0 0 0.0279575 -1 388817 388817 0.972043 0 405 
900002 2 normal 800000000 0 800000000 400000000 50 65536 85148690 9.39533 42591 450001 0 0 0 0 0 0.0946465 -1 407410 407410 0.905354 0 397 
900002 1 normal 800000000 0 800000000 400000000 50 65536 91107698 8.78082 14078 450000 0 0 0 0 0 0.0312844 -1 435922 435922 0.968716 0 447 
1000002 2 normal 800000000 0 800000000 400000000 50 65536 93620087 8.54517 52058 500001 0 0 0 0 0 0.104116 0.104116 447943 447943 0.895884 0 443 
1000002 1 normal 800000000 0 800000000 400000000 50 65536 100866953 7.93124 17383 500000 0 0 0 0 0 0.034766 0.034766 482617 482617 0.965234 0 496 
1100002 2 normal 800000000 0 800000000 400000000 50 65536 101897741 7.85101 62452 550001 0 0 0 0 0 0.113549 -1 487549 487549 0.886451 0 478 
1100002 1 normal 800000000 0 800000000 400000000 50 65536 110570823 7.23518 20953 550000 0 0 0 0 0 0.0380964 -1 529047 529047 0.961904 0 544 
1200002 2 normal 800000000 0 800000000 400000000 50 65536 110011121 7.27199 73632 600001 0 0 0 0 0 0.12272 -1 526369 526369 0.87728 0 520 
1200002 1 normal 800000000 0 800000000 400000000 50 65536 120168730 6.65731 25030 600000 0 0 0 0 0 0.0417167 -1 574970 574970 0.958283 0 584 
1300002 2 normal 800000000 0 800000000 400000000 50 65536 117955211 6.78224 85622 650001 0 0 0 0 0 0.131726 -1 564379 564379 0.868274 0 547 
1300002 1 normal 800000000 0 800000000 400000000 50 65536 129704982 6.16784 29402 650000 0 0 0 0 0 0.0452338 -1 620598 620598 0.954766 0 634 
1400002 2 normal 800000000 0 800000000 400000000 50 65536 125742133 6.36223 98364 700001 0 0 0 0 0 0.14052 -1 601637 601637 0.85948 0 580 
1400002 1 normal 800000000 0 800000000 400000000 50 65536 139195254 5.74732 33994 700000 0 0 0 0 0 0.0485629 -1 666006 666006 0.951437 0 672 
1500002 2 normal 800000000 0 800000000 400000000 50 65536 133320682 6.00057 112103 750001 0 0 0 0 0 0.14947 -1 637898 637898 0.85053 0 612 
1500002 1 normal 800000000 0 800000000 400000000 50 65536 148620318 5.38284 38898 750000 0 0 0 0 0 0.051864 -1 711102 711102 0.948136 0 717 
1600002 2 normal 800000000 0 800000000 400000000 50 65536 140745407 5.68402 126578 800001 0 0 0 0 0 0.158222 -1 673423 673423 0.841778 0 657 
1600002 1 normal 800000000 0 800000000 400000000 50 65536 157973695 5.06413 44145 800000 0 0 0 0 0 0.0551813 -1 755855 755855 0.944819 0 762 
1700002 2 normal 800000000 0 800000000 400000000 50 65536 148044105 5.4038 141656 850001 0 0 0 0 0 0.166654 -1 708345 708345 0.833346 0 699 
1700002 1 normal 800000000 0 800000000 400000000 50 65536 167264163 4.78285 49693 850000 0 0 0 0 0 0.0584624 -1 800307 800307 0.941538 0 808 
1800002 2 normal 800000000 0 800000000 400000000 50 65536 155175603 5.15545 157534 900001 0 0 0 0 0 0.175038 -1 742467 742467 0.824962 0 741 
1800002 1 normal 800000000 0 800000000 400000000 50 65536 176505307 4.53244 55477 900000 0 0 0 0 0 0.0616411 -1 844523 844523 0.938359 0 847 
1900002 2 normal 800000000 0 800000000 400000000 50 65536 162197794 4.93225 173935 950001 0 0 0 0 0 0.183089 -1 776066 776066 0.816911 0 776 
1900002 1 normal 800000000 0 800000000 400000000 50 65536 185634218 4.30955 61798 950000 0 0 0 0 0 0.0650505 -1 888202 888202 0.934949 0 888 
2000002 2 normal 800000000 0 800000000 400000000 50 65536 169050904 4.7323 191145 1000001 0 0 0 0 0 0.191145 0.278174 808856 808856 0.808855 0 821 
2000002 1 normal 800000000 0 800000000 400000000 50 65536 194731988 4.10821 68268 1000000 0 0 0 0 0 0.068268 0.10177 931732 931732 0.931732 0 937 
2100002 2 normal 800000000 0 800000000 400000000 50 65536 175745801 4.55203 209112 1050001 0 0 0 0 0 0.199154 -1 840889 840889 0.800846 0 855 
2100002 1 normal 800000000 0 800000000 400000000 50 65536 203774582 3.92591 75002 1050000 0 0 0 0 0 0.0714305 -1 974998 974998 0.92857 0 980 
2200002 2 normal 800000000 0 800000000 400000000 50 65536 182272244 4.38904 227885 1100001 0 0 0 0 0 0.207168 -1 872116 872116 0.792832 0 887 
2200002 1 normal 800000000 0 800000000 400000000 50 65536 212734621 3.76055 82131 1100000 0 0 0 0 0 0.0746645 -1 1017869 1017869 0.925335 0 1026 
2300002 2 normal 800000000 0 800000000 400000000 50 65536 188674959 4.2401 247250 1150001 0 0 0 0 0 0.215 -1 902751 902751 0.785 0 926 
2300002 1 normal 800000000 0 800000000 400000000 50 65536 221643664 3.6094 89504 1150000 0 0 0 0 0 0.0778296 -1 1060496 1060496 0.92217 0 1065 
2400002 2 normal 800000000 0 800000000 400000000 50 65536 195011003 4.10233 266934 1200001 0 0 0 0 0 0.222445 -1 933067 933067 0.777555 0 953 
2400002 1 normal 800000000 0 800000000 400000000 50 65536 230498576 3.47074 97136 1200000 0 0 0 0 0 0.0809467 -1 1102864 1102864 0.919053 0 1110 
2500002 2 normal 800000000 0 800000000 400000000 50 65536 201152677 3.97708 287548 1250001 0 0 0 0 0 0.230038 -1 962453 962453 0.769962 0 989 
2500002 1 normal 800000000 0 800000000 400000000 50 65536 239257557 3.34368 105227 1250000 0 0 0 0 0 0.0841816 -1 1144773 1144773 0.915818 0 1161 
2600002 2 normal 800000000 0 800000000 400000000 50 65536 207150768 3.86192 308849 1300001 0 0 0 0 0 0.237576 -1 991152 991152 0.762424 0 1019 
2600002 1 normal 800000000 0 800000000 400000000 50 65536 247963243 3.22628 113573 1300000 0 0 0 0 0 0.0873638 -1 1186427 1186427 0.912636 0 1205 
2700002 2 normal 800000000 0 800000000 400000000 50 65536 213024713 3.75543 330744 1350001 0 0 0 0 0 0.244995 -1 1019257 1019257 0.755005 0 1044 
2700002 1 normal 800000000 0 800000000 400000000 50 65536 256620232 3.11745 122152 1350000 0 0 0 0 0 0.090483 -1 1227848 1227848 0.909517 0 1256 
2800002 2 normal 800000000 0 800000000 400000000 50 65536 218802100 3.65627 353101 1400001 0 0 0 0 0 0.252215 -1 1046900 1046900 0.747785 0 1068 
2800002 1 normal 800000000 0 800000000 400000000 50 65536 265212013 3.01645 131043 1400000 0 0 0 0 0 0.0936021 -1 1268957 1268957 0.906398 0 1282 
2900002 2 normal 800000000 0 800000000 400000000 50 65536 224505292 3.56339 375813 1450001 0 0 0 0 0 0.259181 -1 1074188 1074188 0.740819 0 1089 
2900002 1 normal 800000000 0 800000000 400000000 50 65536 273732943 2.92256 140273 1450000 0 0 0 0 0 0.09674 -1 1309727 1309727 0.90326 0 1328 
3000002 2 normal 800000000 0 800000000 400000000 50 65536 230041911 3.47763 399322 1500001 0 0 0 0 0 0.266214 0.416354 1100679 1100679 0.733786 0 1119 
3000002 1 normal 800000000 0 800000000 400000000 50 65536 282177170 2.8351 149870 1500000 0 0 0 0 0 0.0999133 0.163204 1350130 1350130 0.900087 0 1373 
3100002 2 normal 800000000 0 800000000 400000000 50 65536 235503290 3.39698 423191 1550001 0 0 0 0 0 0.273026 -1 1126810 1126810 0.726974 0 1148 
